Beta Alpha Psi---As the premier professional business and financial information fraternity, Beta Alpha Psi recognizes academic excellence and complements members formal education by providing interaction among students, faculty and professionals, and fosters life-long growth, service and ethical conduct. BAΨ is a national scholastic and professional accounting, finance and M.I.S. honor society. Scholars in these fields are recognized by achieving a 3.0 overall grade point average.---Scholars in these fields are recognized by achieving a 3.0 overall grade point average.---NULL---NULL---NULL---0.00
Beta Beta Beta---The purpose of Beta Beta Beta Biological Honor Society is to function as an honor and professional society for students of the biological sciences. Its activities shall be designed to stimulate interest, scholarly attainment and investigation in the biological sciences and to promote the dissemination of information and new interpretations among students of the life sciences.---NULL---NULL---NULL---NULL---0.00
Beta Gamma Sigma---The mission of Beta Gamma Sigma is to encourage and honor academic achievement and personal excellence in the study and practice of business. It is the only scholastic honor society recognized by the International Association of Management Education (AACSB). Membership is open to both M.B.A. students and undergraduate students with a major in accounting, business administration or management information systems who are tapped by the Perdue School of Business.---To be tapped, undergraduate students in their junior year must be in the top 7 percent of their class or seniors in the top 10 percent of their class. M.B.A. students must be in the top 20 percent of their class.---NULL---NULL---NULL---0.00
Chi Alpha Sigma---Chi Alpha Sigma recognizes college student athletes who earn a varsity letter in at least one sport while maintaining a 3.4 or higher cumulative grade point average throughout their junior and senior years. Chi Alpha Sigma's purposes are as follows: To encourage and reward high academic scholarship of college athletes at four-year accredited colleges and universities.---Chi Alpha Sigma recognizes college student athletes who earn a varsity letter in at least one sport while maintaining a 3.4 or higher cumulative grade point average throughout their junior and senior years.---NULL---NULL---NULL---0.00
Eta Sigma Gamma---Eta Sigma Gamma is the only national health education honorary. Founded in 1967 at Ball State University, its mission is to promote the highest possible standards in education, research, and service within the discipline of health education through student-led chapters in colleges and universities across the United States. The Epsilon Xi chapter at SU is open to any Community Health major or Health minor who meets established eligibility requirements.---NULL---NULL---NULL---NULL---0.00
Gamma Theta Upsilon---The Zeta Eta chapter of Gamma Theta Upsilon, an international honor society in geography, was established at SU in 1980 to recognize scholarly achievement and to foster professional growth and geographic research.---Junior or senior geography majors are eligible for membership by completing at least 18 credit hours of geography with a minimum grade point average of 3.25 and an overall grade point average of 3.0.---NULL---NULL---NULL---0.00
Honor Student Association---The purpose of the Honors Student Association is to provide students with cultural, intellectual and social activities outside of the classroom setting and to promote community service. The group also serves as a liaison between students enrolled in the Clarke Honors College and the Clarke Honors College Committee. It makes recommendations for honors course offerings and advises the committee on matters relating to program requirements and changes.---NULL---NULL---NULL---https://www.salisbury.edu/academic-offices/honors/---0.00
Kappa Delta Pi---Kappa Delta Pi is an international honor society in education. Founded in 1911, the organization has more than 55,000 members in 665 chapters worldwide. The Rho Eta chapter of Kappa Delta Pi promotes excellence in and recognizes outstanding contributions to education. This honor society endeavors to maintain a high degree of professional fellowship and growth among its members. Qualifications for membership include a 3.2 GPA and completion of certain education courses.---Qualifications for membership include a 3.2 GPA and completion of certain education courses.---NULL---NULL---NULL---0.00
Lambda Beta---The Lambda Beta Honor Society for Respiratory Care at SU was formed to bring together those who are interested in a career in respiratory care. The purpose of the honor society is to promote, recognize and honor scholarship, achievement, service and character of students, graduates and faculty members of the SU Respiratory Therapy Program. Junior and senior student members are available to mentor those wishing to pursue a career in respiratory care.---Students will be invited to become members of the SU chapter of Lambda Beta after completing the first semester as a respiratory major with a GPA of 3.0. Students in the top 25 percent of their class will be inducted into the national level of Lambda Beta during the spring semester of their senior year.---NULL---NULL---NULL---0.00
Lambda Pi Eta---Lambda Pi Eta is the official undergraduate communications honor society of the National Communication Association. Its purpose is to recognize, foster and reward outstanding scholastic achievement, stimulate interest in the field of communication studies, and to promote and encourage professional development among communication majors.---NULL---NULL---NULL---NULL---0.00
Lambda Tau---The Lambda Tau Honor Society is the national honor society for Medical Laboratory Science students.---NULL---NULL---NULL---NULL---0.00
